"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"V15.R02",1,0,9,25,26,4,8,1,40,0,0,0,1,1,0,8,30,0,0.5,20,10,0,0,0,8,1,1,1,0,2,1,1,1,1.93334782123566,1.91836023330688,0.417466521263123,1.54076743125916,"V15.X01N",852
"V15.M02",0,0,11,60,33,15,8,6,30,0,0,0,1,0,0,8,35,10,2,15,66,0,0,1,8,1,1,1,0,2,1,1,1,2.03523993492126,2.02120399475098,0.819813132286072,1.54076743125916,"V15.X02N",853
"V15.M02",0,1,6,60,33,15,8,6,30,0,0,0,1,0,1,6,35,10,2,15,66,0,0,1,8,1,1,1,0,2,1,1,1,2.03523993492126,2.02120399475098,-0.923688888549805,-1.02227532863617,"V15.X02N",854
"V15.E02",1,1,11,40,40,4,10,2,20,0,0,1,1,1,1,11,35,1,1,10,25,0,0,1,10,1,1,1,0,2,1,0,0,2.0445408821106,2.04320621490479,1.3562753200531,0.259246081113815,"V15.X03N",855
"V15.E02",1,1,6,40,40,4,10,2,20,0,0,1,1,1,1,7,35,1,1,10,25,0,0,1,10,1,1,1,0,2,1,1,1,2.0445408821106,2.04320621490479,-1.19191992282867,-1.26256060600281,"V15.X03N",856
"V15.E02",1,0,8,40,40,4,10,2,20,0,0,1,1,1,0,8,35,1,1,10,25,0,0,1,10,1,1,1,0,2,1,1,1,2.0445408821106,2.04320621490479,-0.387226700782776,1.78105270862579,"V15.X03N",857
"V15.E02",1,0,10,40,40,4,10,2,20,0,0,1,1,1,0,10,35,1,1,10,25,0,0,1,10,1,1,1,0,2,1,1,1,2.0445408821106,2.04320621490479,1.49039089679718,2.18152809143066,"V15.X03N",858
"V16.R04",1,0,8,40,45,7,7,2,10,0,1,1,1,1,0,7,40,3,4,10,20,0,0,1,6,1,1,1,1,12,0,1,1,3.2147970199585,3.22421455383301,1.22215974330902,1.30048227310181,"V16.C01N",859
"V16.R04",1,1,11,40,45,7,7,2,10,0,1,1,1,1,1,9,40,3,4,10,20,0,0,1,6,1,1,1,1,12,0,1,1,3.2147970199585,3.22421455383301,1.3562753200531,2.18152809143066,"V16.C01N",860
"V16.M03",1,1,7,30,30,2,9,0,6,0,0,1,1,1,1,6,37,10,1,7,37,0,0,1,8,1,1,1,1,12,0,1,1,4.16445922851562,4.16906833648682,-0.789573311805725,-0.621799886226654,"V16.J01N",861
"V16.M03",1,1,10,30,30,2,9,0,6,0,0,1,1,1,1,10,37,10,1,7,37,0,0,1,8,1,1,1,1,12,0,0,0,4.16445922851562,4.16906833648682,-0.118995629251003,0.579626441001892,"V16.J01N",862
"V16.M03",1,0,9,30,30,2,9,0,6,0,0,1,1,1,0,7,37,10,1,7,37,0,0,1,8,1,1,1,1,12,0,1,1,4.16445922851562,4.16906833648682,0.819813132286072,0.339341163635254,"V16.J01N",863
"V16.M01",1,0,11,30,30,0,9,0,2,0,0,1,1,1,0,9,33,1,1,5,33,0,0,1,6,1,1,1,1,12,0,1,1,4.18006324768066,4.17088222503662,1.49039089679718,1.30048227310181,"V16.J02N",864
"V16.M01",1,1,7,30,30,0,9,0,2,0,0,1,1,1,1,7,33,1,1,5,33,0,0,1,6,1,1,1,1,12,0,0,0,4.18006324768066,4.17088222503662,-0.789573311805725,-0.461609721183777,"V16.J02N",865
"V16.T01",1,0,8,50,60,9,9,0,6,0,1,1,1,1,0,8,40,20,0,4,4,0,0,0,8,1,1,1,1,12,0,1,1,4.22983598709106,4.07131004333496,1.08804416656494,0.579626441001892,"V16.J04N",866
"V16.T01",1,1,7,50,60,9,9,0,6,0,1,1,1,1,1,7,40,20,0,4,4,0,0,0,8,1,1,1,1,12,0,1,1,4.22983598709106,4.07131004333496,-0.923688888549805,-0.701894998550415,"V16.J04N",867
"V16.T01",1,0,10,50,60,9,9,0,6,0,1,1,1,1,0,10,40,20,0,4,4,0,0,0,8,1,1,1,1,12,0,1,1,4.22983598709106,4.07131004333496,1.49039089679718,0.0990559086203575,"V16.J04N",868
"V16.E04",1,0,11,35,35,2,6,0,2,0,1,1,1,1,0,9,32,3,0,0,32,0,0,1,5,1,1,1,1,12,0,1,1,4.04802560806274,4.05430555343628,1.22215974330902,0.259246081113815,"V16.J06N",869
"V16.E04",1,1,9,35,35,2,6,0,2,0,1,1,1,1,1,10,32,3,0,0,32,0,0,1,5,1,1,1,1,12,0,1,1,4.04802560806274,4.05430555343628,0.953928709030151,0.499531358480453,"V16.J06N",870
